Date,transactions,fees,VAGP,SAGG
2019-07-29,196.35320292451888,3,7,0
2019-07-29,97.25233015692618,3,0,21
2019-08-05,167.1403603042545,3,6,0
2019-08-05,92.87945128197862,3,0,20
2019-09-06,201.3708480749783,3,7,0
2019-09-06,94.31239947150516,3,0,20
2019-10-30,176.43103329004498,3,6,0
2019-10-30,97.27842088710975,3,0,21
2019-11-29,178.7945336221219,3,6,0
2019-11-29,97.93599400559663,3,0,21
2019-12-09,180.85974392840308,3,6,0
2019-12-09,97.70507236976738,3,0,21
2020-01-16,208.27074830727747,3,7,0
2020-01-16,100.9209790442892,3,0,22
2020-02-27,184.49499987065792,3,6,0
2020-02-27,95.74179330877541,3,0,20
2020-03-25,83.10673745101553,3,0,18
2020-03-25,191.7346064935714,3,7,0
2020-04-07,93.47002297639847,3,0,20
2020-04-07,173.66730683920832,3,6,0
2020-05-19,94.63362187928396,3,0,20
2020-05-19,202.07505947507707,3,7,0
2020-06-05,201.54224965966387,3,7,0
2020-06-05,100.70107046003318,3,0,22
2020-07-31,99.9768148328053,3,0,22
2020-07-31,204.0740725601836,3,7,0
2020-08-14,99.75601637398495,3,0,22
2020-08-14,203.1712670218585,3,7,0
2020-09-01,103.64586995087541,3,0,23
2020-09-01,205.14434902275775,3,7,0
2020-10-27,100.52017752644588,3,0,22
2020-10-27,202.71382351361126,3,7,0
2020-11-09,100.24768180413093,3,0,22
2020-11-09,203.0020000701561,3,7,0
2020-12-16,204.1713238939792,3,7,0
2020-12-16,104.21430772643407,3,0,23
2021-01-28,177.90611940561212,3,6,0
2021-01-28,103.48750745675898,3,0,23
2021-02-11,103.74585630941726,3,0,23
2021-02-11,179.17238555452195,3,6,0
2021-03-11,102.48821669619699,3,0,23
2021-03-11,180.22614998114204,3,6,0
2021-04-14,106.45734334923327,3,0,24
2021-04-14,206.8325444376096,3,7,0
2021-05-27,105.19474819088282,3,0,24
2021-05-27,207.61116087061146,3,7,0
2021-06-11,210.27409610515133,3,7,0
2021-06-11,106.60102746680786,3,0,24
2021-07-01,103.71669737447087,3,0,23
2021-07-01,210.65058166744666,3,7,0
2021-08-18,104.77294721663327,3,0,23
2021-08-18,183.6390163986539,3,6,0
2021-09-20,104.83460007316648,3,0,23
2021-09-20,182.3385973913155,3,6,0
2021-10-14,211.99872188741892,3,7,0
2021-10-14,104.04799302928836,3,0,23
2021-11-03,103.77697591197887,3,0,23
2021-11-03,211.22038191981665,3,7,0
2021-12-22,211.2505617727793,3,7,0
2021-12-22,105.67758760581762,3,0,23
2022-01-27,104.3581618451895,3,0,23
2022-01-27,211.21709138900042,3,7,0
2022-02-08,205.33408315307588,3,7,0
2022-02-08,105.43716495334866,3,0,24
2022-03-24,105.69645017050516,3,0,24
2022-03-24,202.50447787055418,3,7,0
2022-04-29,104.25063227430724,3,0,24
2022-04-29,221.23478925271957,3,8,0
2022-05-03,104.6769938481425,3,0,24
2022-05-03,221.27889299696653,3,8,0
2022-06-23,210.75297171309103,3,8,0
2022-06-23,101.3687686872072,3,0,24
2022-07-26,100.62696597274339,3,0,23
2022-07-26,191.28876340435,3,7,0
2022-08-31,100.10965504782303,3,0,23
2022-08-31,210.91080370357668,3,8,0
2022-09-08,102.98463383673607,3,0,24
2022-09-08,207.16769359350656,3,8,0
2022-10-18,222.41769301649674,3,9,0
2022-10-18,99.51193680580673,3,0,24
2022-11-04,99.6509290552608,3,0,24
2022-11-04,221.37394805902272,3,9,0
2022-12-08,100.0035038307301,3,0,24
2022-12-08,208.51774111389568,3,8,0
2023-01-30,105.5081601251236,3,0,26
2023-01-30,202.49829935116577,3,8,0
2023-02-03,102.25538812010768,3,0,25
2023-02-03,200.51129897695137,3,8,0
2023-03-08,104.51866823931539,3,0,26
2023-03-08,219.42814825596201,3,9,0
2023-04-14,104.43875913574794,3,0,26
2023-04-14,201.00525408690737,3,8,0
2023-05-11,105.78123766144927,3,0,26
2023-05-11,205.44578082219232,3,8,0
2023-06-08,204.97472856288368,3,8,0
2023-06-08,108.5024927490903,3,0,27
2023-07-12,106.60292447522676,3,0,27
2023-07-12,206.0878847837448,3,8,0
2023-08-07,108.59183510977869,3,0,28
2023-08-07,202.2614134878495,3,8,0
2023-09-07,105.75746698458534,3,0,27
2023-09-07,202.2219554338808,3,8,0
2023-10-30,104.05910392861506,3,0,27
2023-10-30,217.8767411665467,3,9,0
2023-11-06,197.5899067850878,3,8,0
2023-11-06,108.26175316975241,3,0,28
